DR_NO,Date Rptd,DATE OCC,TIME OCC
,,08/18/2020 12:00:00 AM,405.0
200321584.0,12/11/2020 12:00:00 AM,07/01/2020 12:00:00 AM,900.0
,,10/09/2020 12:00:00 AM,
201214966.0,06/19/2020 12:00:00 AM,06/09/2020 12:00:00 AM,1.0
201108147.0,04/08/2020 12:00:00 AM,04/08/2020 12:00:00 AM,
200808438.0,,,
201004548.0,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1316.0
201109103.0,,05/07/2020 12:00:00 AM,140.0
,,04/16/2020 12:00:00 AM,1600.0
,,05/09/2020 12:00:00 AM,540.0
,08/21/2020 12:00:00 AM,,
200812870.0,,08/02/2020 12:00:00 AM,
201113281.0,09/04/2020 12:00:00 AM,,1800.0
,03/22/2020 12:00:00 AM,03/22/2020 12:00:00 AM,430.0
200104316.0,01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,747.0
200815799.0,10/28/2020 12:00:00 AM,,
201211062.0,04/16/2020 12:00:00 AM,04/16/2020 12:00:00 AM,
200512280.0,07/24/2020 12:00:00 AM,07/24/2020 12:00:00 AM,1600.0
200216646.0,10/25/2020 12:00:00 AM,10/10/2020 12:00:00 AM,1200.0
201219692.0,08/31/2020 12:00:00 AM,,1800.0
200413464.0,10/04/2020 12:00:00 AM,10/04/2020 12:00:00 AM,
,09/04/2020 12:00:00 AM,08/31/2020 12:00:00 AM,
200120973.0,11/13/2020 12:00:00 AM,11/12/2020 12:00:00 AM,2100.0
201108111.0,04/07/2020 12:00:00 AM,04/07/2020 12:00:00 AM,
200608531.0,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,1305.0
200711738.0,07/17/2020 12:00:00 AM,07/02/2020 12:00:00 AM,400.0
,09/08/2020 12:00:00 AM,,
200119228.0,10/11/2020 12:00:00 AM,10/11/2020 12:00:00 AM,2045.0
200409389.0,05/31/2020 12:00:00 AM,,1800.0
200107228.0,02/15/2020 12:00:00 AM,02/15/2020 12:00:00 AM,
,12/06/2020 12:00:00 AM,,1530.0
200109910.0,,03/31/2020 12:00:00 AM,
200705720.0,,02/01/2020 12:00:00 AM,1400.0
,07/13/2020 12:00:00 AM,07/12/2020 12:00:00 AM,
200208642.0,04/06/2020 12:00:00 AM,04/06/2020 12:00:00 AM,1.0
200709141.0,,05/11/2020 12:00:00 AM,
,,02/10/2020 12:00:00 AM,900.0
200707378.0,03/13/2020 12:00:00 AM,03/12/2020 12:00:00 AM,915.0
200715141.0,,10/20/2020 12:00:00 AM,1200.0
201105686.0,02/08/2020 12:00:00 AM,02/07/2020 12:00:00 AM,1550.0
200407426.0,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,
201014312.0,10/22/2020 12:00:00 AM,10/21/2020 12:00:00 AM,
200217634.0,11/19/2020 12:00:00 AM,11/19/2020 12:00:00 AM,1840.0
201212398.0,05/07/2020 12:00:00 AM,05/06/2020 12:00:00 AM,1800.0
,02/14/2020 12:00:00 AM,02/13/2020 12:00:00 AM,
201221820.0,10/02/2020 12:00:00 AM,,600.0
200715653.0,11/05/2020 12:00:00 AM,,1600.0
,05/11/2020 12:00:00 AM,05/08/2020 12:00:00 AM,
200816363.0,,,
200815583.0,10/22/2020 12:00:00 AM,10/22/2020 12:00:00 AM,
200709021.0,,05/06/2020 12:00:00 AM,
200200671.0,04/22/2020 12:00:00 AM,04/22/2020 12:00:00 AM,
200106175.0,01/31/2020 12:00:00 AM,,
200617010.0,10/22/2020 12:00:00 AM,10/01/2020 12:00:00 AM,
,,,1.0
200104594.0,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,2145.0
200110052.0,04/04/2020 12:00:00 AM,04/02/2020 12:00:00 AM,2000.0
,12/10/2020 12:00:00 AM,,
,06/16/2020 12:00:00 AM,06/15/2020 12:00:00 AM,1800.0
,11/06/2020 12:00:00 AM,11/06/2020 12:00:00 AM,700.0
200321746.0,12/14/2020 12:00:00 AM,11/24/2020 12:00:00 AM,1355.0
201110606.0,06/19/2020 12:00:00 AM,06/16/2020 12:00:00 AM,2002.0
200116446.0,08/15/2020 12:00:00 AM,08/12/2020 12:00:00 AM,
,04/13/2020 12:00:00 AM,04/08/2020 12:00:00 AM,
200617231.0,,,1900.0
,,11/19/2020 12:00:00 AM,
200807585.0,03/22/2020 12:00:00 AM,03/18/2020 12:00:00 AM,
,05/28/2020 12:00:00 AM,05/28/2020 12:00:00 AM,
,04/28/2020 12:00:00 AM,04/28/2020 12:00:00 AM,
201005417.0,,02/01/2020 12:00:00 AM,
200215572.0,,07/27/2020 12:00:00 AM,1600.0
200105054.0,01/15/2020 12:00:00 AM,,1700.0
200319565.0,10/29/2020 12:00:00 AM,10/29/2020 12:00:00 AM,1600.0
,08/31/2020 12:00:00 AM,08/31/2020 12:00:00 AM,
,04/28/2020 12:00:00 AM,04/27/2020 12:00:00 AM,
,07/14/2020 12:00:00 AM,07/13/2020 12:00:00 AM,1630.0
200708936.0,05/05/2020 12:00:00 AM,05/04/2020 12:00:00 AM,920.0
,07/20/2020 12:00:00 AM,07/20/2020 12:00:00 AM,215.0
,07/14/2020 12:00:00 AM,07/13/2020 12:00:00 AM,
200619489.0,12/21/2020 12:00:00 AM,,300.0
,,,1500.0
,05/20/2020 12:00:00 AM,05/20/2020 12:00:00 AM,2230.0
201224533.0,11/16/2020 12:00:00 AM,,5.0
200412397.0,09/02/2020 12:00:00 AM,08/21/2020 12:00:00 AM,800.0
,,01/14/2020 12:00:00 AM,
200506064.0,02/18/2020 12:00:00 AM,02/18/2020 12:00:00 AM,1730.0
,10/06/2020 12:00:00 AM,,1340.0
201113027.0,,08/28/2020 12:00:00 AM,2335.0
,10/06/2020 12:00:00 AM,,
,,05/18/2020 12:00:00 AM,
,01/16/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1.0
,01/18/2020 12:00:00 AM,01/18/2020 12:00:00 AM,1400.0
,05/24/2020 12:00:00 AM,05/24/2020 12:00:00 AM,
,04/24/2020 12:00:00 AM,02/05/2020 12:00:00 AM,
200613265.0,,07/29/2020 12:00:00 AM,
200507119.0,03/12/2020 12:00:00 AM,02/01/2020 12:00:00 AM,1.0
201107194.0,,,1100.0
200416216.0,,12/22/2020 12:00:00 AM,
